test_row,protein_length,affinity,compound_iso_smiles,target_sequence_sha256,archived_prediction,fresh_prediction,fresh_minus_archived
3821,671,11.800000504,C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)NC(=O)C4=C(C=CC=C4F)F,302cee0ea5d836a035a435c47963b1f5c713d909486a412fd74929f18d3298d7,11.683685302734377,11.682964324951172,-0.0007209777832049014
1956,725,11.500000186,C1=CC(=C(C=C1C2=C(C=NN2)C3=NC=NC=C3)Cl)Cl,84ef87007bc4953586dbc59ff06bf423f4c8d790ecaf87c0264ce09c00229a34,11.34465789794922,11.344012260437012,-0.0006456375122088076
2158,763,12.499996913,C1=CC(=C(C=C1F)F)C2=CN=CC3=C2C=C(S3)C(=O)N,ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f,12.552085876464844,12.551907539367676,-0.00017833709716796875
3718,816,11.144793462,C1COCC1N2C3=C(C(=N2)C4=CC(=C(C=C4)F)O)C(=NC=N3)N,3a907161380a3873709de6342dec9a9f21704b79ca62369479ec8a3fc313a2d8,10.614319801330566,10.615213394165039,0.0008935928344726562
1224,864,11.699999383,C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CC4=C(C=C3)C=NN4,f8ee24a43bff700620ee6d489592c110b5897c7ee694aea1965b46264c679d9f,11.891186714172363,11.891407012939453,0.00022029876708984375
2676,972,10.300000031,C12=C(NN=C1N=C(S2)Cl)N,52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,9.993450164794922,9.992752075195312,-0.000698089599609375
5105,1052,11.900000875,C1=CC(=C2C=NSC2=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)F)C(F)(F)F,673a5ff1e9eb71e9f4ce597ab556006ebebba414fa71bbe2287e813bbd3ddf7e,12.001473426818848,11.999260902404785,-0.0022125244140625
3716,1124,10.300000031,C1=CC(=CC(=C1)F)CNC2=NC=NC3=C2NC=N3,18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,9.78431510925293,9.785115242004395,0.0008001327514648438
3674,1255,11.900000875,C1=CC(=CC(=C1)F)C2=CN=CC3=C2C=C(S3)C(=O)N,a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,11.927131652832031,11.927642822265625,0.00051116943359375
1944,1374,10.622878745,CC(C)(C)C1=CC(=C(S1)NC(=O)NC2=C(C(=CC=C2)Cl)Cl)C(=O)N3CCC(=O)N(CC3)CCN(C)C,acb6bfceb028a3ae5829248426f3ea5eb5863b320d20d32d78a5fa3bcb55f7fe,10.091482162475586,10.089698791503906,-0.0017833709716796875
1036,4128,10.1,C1CCC(C1)N2C3=C(C(=N2)C4=CC5=C(C=C4)NC(=O)C=C5)C(=NC=N3)N,0b73a9ecfe713d096e2570931e596b9d42e47a4359a3d72144f02dde6c361636,10.339829444885254,10.3392915725708,-0.000537872314453125
