role,ident,smiles
active,CHEMBL169390,Nc3ncnc4n(C1CCCC1)cc(c2cccc(O)c2)c34
active,CHEMBL138940,Fc4ccc(Nc2ncnc3cnc(NC(=O)/C=C/C(=O)NCCCN1CCOCC1)cc23)cc4Cl
active,CHEMBL24133,COc3cc2c(Nc1ccc(Cl)cc1F)ncnc2cc3OCCCN4CCCC4
active,CHEMBL417478,Fc4ccc(Nc2ncnc3cc(\C=C\CCN1CCOCC1)c(NC(=O)C=C)nc23)cc4Cl
active,CHEMBL97162,COc4nccc(c2c(c1ccc(F)cc1)ncn2C3CCC(O)CC3)n4
active,CHEMBL202556,Fc4ccc(Nc2ncnc3cnc(NC(=O)C#CCN1CCOCC1)cc23)cc4Cl
active,CHEMBL56731,Oc2ccc(\C=C(/C#N)C(=O)Nc1ccccc1)cc2O
active,CHEMBL475768,CS(=O)(=O)CCNCc5ccc(c4cc3ncnc(Nc2ccc(OCc1cccc(F)c1)c(Cl)c2)c3s4)o5
active,CHEMBL513418,NS(=O)(=O)c4ccc(Nc3nc2ncnc(Nc1cccc(Cl)c1)c2s3)cc4
active,CHEMBL195204,CN5CCC(Oc3cccc4ncnc(Nc2ccc(OCc1cscn1)c(Cl)c2)c34)CC5
active,CHEMBL204420,COc3cc2ncnc(Nc1cccc(Cl)c1F)c2cc3CN4CCN(C)CC4C(N)=O
active,CHEMBL204268,COc4cc(OC1CCOC1)c3c(Nc2ccc(F)c(Cl)c2)ncnc3c4
active,CHEMBL293584,Oc2cc1CCC(=C(C#N)C#N)c1cc2O
active,CHEMBL217090,Clc2ccc1OCOc1c2Nc5ncnc6cc(OCCCN3CCCC3)cc(OC4CCOCC4)c56
active,CHEMBL205776,CN5CCN(CCCOc4cc(OC1CCOCC1)c3c(Nc2ccc(F)c(Cl)c2)ncnc3c4)CC5
active,CHEMBL506414,Fc5cccc(COc4ccc(Nc2ncnc3sc(c1cccs1)cc23)cc4Cl)c5
active,CHEMBL55729,Nc2ccc1cncnc1c2
active,CHEMBL574738,CCN4CCN(Cc3ccc(NC(=O)Nc2ccc(Oc1cc(NC)ncn1)cc2)cc3C(F)(F)F)CC4
active,CHEMBL247916,NC6CCN(Cc4ccn5ncnc(Nc3ccc2n(Cc1ccncc1)ncc2c3)c45)CC6
active,CHEMBL291514,COc3cc2ncnc(Nc1ccc(F)c(Cl)c1)c2cc3OCCCN4CCCCC4
active,CHEMBL489058,CCN5CCN(CC/C=C/c4ccc3c(Nc2ccc(Sc1nccn1C)c(Cl)c2)c(C#N)cnc3c4)CC5
active,CHEMBL456758,COC[C@@H]1CCCN1/N=C/c2c(N)ncnc2Nc5ccc4n(Cc3cccc(F)c3)ncc4c5
active,CHEMBL94109,Brc5cccc(Nc3ncnc4ccc(NC(=O)\C=C\CN2CCC(N1CCCCC1)CC2)cc34)c5
active,CHEMBL278041,Oc4ccc(c3nc(c1ccc(F)cc1)c(c2ccncc2)[nH]3)cc4
active,CHEMBL399373,CCOc4cc3ncnc(C#C[C@@](C)(Cc1ccccc1)N2CCC(C(O)=O)CC2)c3cc4OCC
active,CHEMBL370934,CCOC(=O)c3cn2ncnc(Nc1cccc(Br)c1)c2c3CC
active,CHEMBL203599,CN4CCN(CCC#CC(=O)Nc3cc2c(Nc1ccc(F)c(Cl)c1)ncnc2cn3)CC4
active,CHEMBL1095761,Nc4nc(Nc1cccc(Br)c1)c3cc(Cc2ccc(Cl)cc2Cl)[nH]c3n4
active,CHEMBL473553,COc5cc4ncnc(Nc3ccc(c2nc1ccccc1s2)c(OC)c3)c4cc5OC
active,CHEMBL258694,CC(C)c4c(c1nnc(C)o1)cn5ncnc(Nc3cnc2[nH]ccc2c3)c45
active,CHEMBL169514,Oc4ccc(O)c(CNc3ccc(O)c(C(=O)Oc2ccc1ccccc1c2)c3)c4
active,CHEMBL81712,O=C(c1ccccc1)c5cc4ncnc(Nc3ccc2[nH]ccc2c3)c4s5
active,CHEMBL255866,CO/N=C/c1c(N)ncnc1Nc3ccc2[nH]ncc2c3
active,CHEMBL408683,NC(=O)CN4CCC(n2cc(c1cccc(O)c1)c3c(N)ncnc23)C4
active,CHEMBL166307,CN4CCN(NCCCNc3cc2c(Nc1cccc(Br)c1)ncnc2cn3)CC4
active,CHEMBL1421,Cc4nc(Nc2ncc(C(=O)Nc1c(C)cccc1Cl)s2)cc(N3CCN(CCO)CC3)n4
active,CHEMBL80540,C6CN(CCNCc5ccc(c4cc3nccc(Nc2ccc1[nH]ccc1c2)c3s4)cc5)CCN6
active,CHEMBL207674,COc3cc2ncnc(Nc1cccc(Cl)c1F)c2cc3CN4CCOCC4C(N)=O
active,CHEMBL207037,COc3cc2ncnc(Nc1cccc(Cl)c1F)c2cc3CN4CC(C(N)=O)C4
active,CHEMBL178265,CCOc4cc3ncc(C#N)c(Nc2ccc(Oc1ccncc1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL258940,CN4CCC(Nc3ncc2ncnc(Nc1ccc(F)c(Cl)c1)c2n3)CC4
active,CHEMBL398960,CCN(CC)C(C)(Cc1ccncc1)C#Cc2ncnc3cc(OC)c(OC)cc23
active,CHEMBL328977,Brc4cccc(Nc2ncnc3ccc(NC(=O)C#CCN1CCSCC1)cc23)c4
active,CHEMBL939,COc3cc2ncnc(Nc1ccc(F)c(Cl)c1)c2cc3OCCCN4CCOCC4
active,CHEMBL455433,O=C(O[C@H]5CN[C@H](C#Cc4cc3ncnc(NCc2cccc(Oc1ccccc1)c2)c3s4)C5)N6CCOCC6
active,CHEMBL180175,COc4cc3ncc(C#N)c(Nc2ccc(Sc1nccn1C)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL606403,CC(C)c4nsc(C(=O)Nc3ccc2ncnc(Nc1cccc(Br)c1)c2c3)n4
active,CHEMBL193368,CCc5c(C(=O)OCCCn1ccnc1)cn6ncnc(Nc4ccc3n(Cc2ccccc2)ncc3c4)c56
active,CHEMBL472581,CS(=O)(=O)CCNCc6nc(c5ccc4ncnc(Nc3ccc2n(Cc1ccccc1)ncc2c3)c4c5)cs6
active,CHEMBL583218,CCC5=C1C(N=CN=C1Nc4ccc3n(Cc2ccccc2)ncc3c4)N=C5NC(=O)OCC6CCNCC6
active,CHEMBL366580,Brc4cccc(Nc2ncnc3cc1c[nH]nc1cc23)c4
active,CHEMBL138125,Brc4cccc(Nc2ncnc3ccc(NN=NCc1ccccn1)cc23)c4
active,CHEMBL372112,CCOC(=O)c4cn3ncnc(Nc2ccc1[nH]ncc1c2)c3c4CC
active,CHEMBL346863,Brc4cccc(Nc1ncnc3c1sc2ncsc23)c4
active,CHEMBL90595,Brc4cccc(Nc2ncnc3ccc(NC(=O)C#CCN1CCCCC1)cc23)c4
active,CHEMBL453398,Clc5cc(Nc3ncnc4cc(C#C[C@@H]2C[C@@H](OC(=O)N1CCOCC1)CN2)sc34)ccc5Oc6ccccn6
active,CHEMBL216048,COc4cc3CNc2c(Oc1cccc(Br)c1)ncnc2Oc3cc4OC
active,CHEMBL511623,Fc4ccc(Nc2ncnc3nc(NCCN1CCOCC1)sc23)cc4Cl
active,CHEMBL480349,CS(=O)(=O)CCNCc5ccc(c4cc3c(Nc2ccc(OCc1cccc(F)c1)c(Cl)c2)ncnc3s4)o5
active,CHEMBL178199,CCOc4cc3ncc(C#N)c(Nc2ccc(OCCc1ccccc1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL137364,Brc4cccc(Nc2ncnc3ccc(NN=NCCN1CCOCC1)cc23)c4
active,CHEMBL246492,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(COC[C@@H]1COCCN1)c23)ccc45)c6
active,CHEMBL213560,Oc3ccc(\C=c2\n(CCc1ccccc1)c(=O)[nH]c2=O)cc3
active,CHEMBL325589,Cn3c(=O)c(c1c(Cl)cccc1Cl)cc4cnc(Nc2cccnc2)nc34
active,CHEMBL471058,CCc1nccn1Cc5ccc(Nc4nc3ncnc(Nc2ccc(F)c(Cl)c2)c3s4)cc5
active,CHEMBL206955,COc3cc2ncnc(Nc1ccc(F)c(Cl)c1)c2cc3CN4CCC[C@@H]4C(N)=O
active,CHEMBL294475,Brc4cccc(Nc2ncnc3cnc(NCCN1CCOCC1)nc23)c4
active,CHEMBL120069,Cc4cccc(Nc2[nH]cnc3nnc(Nc1cccc(Cl)c1)c23)c4
active,CHEMBL51028,CN5CCN(CCCNc4ncc3cc(c1c(Cl)cccc1Cl)c(NC(=O)NC2CCCCC2)nc3n4)CC5
active,CHEMBL28418,Fc3ccc(Nc1ncnc2ccc(NC(=O)C=C)nc12)cc3Cl
active,CHEMBL281543,Fc4ccc(Nc2ncnc3cc(CCCCN1CCOCC1)c(NC(=O)C=C)nc23)cc4Cl
active,CHEMBL569880,COCCOc3cc2ncnc(Nc1ccc(F)c(Cl)c1F)c2cc3NC(=O)[C@@H]4CCCN4C(=O)C=C
active,CHEMBL1082012,CN5CCN(CCNC(=O)c4[nH]c3cnnc(Nc2ccc(OCc1cccc(F)c1)c(Cl)c2)c3c4C)CC5
active,CHEMBL30432,CN(C)c5cc4c(Nc3ccc2n(Cc1ccccc1)ncc2c3)ncnc4cn5
active,CHEMBL473944,Brc4cccc(Cc2ncnc3cc(OCCCn1ccnc1)c(NC(=O)C=C)cc23)c4
active,CHEMBL319620,OC(=O)c2cc(NCc1cc(O)ccc1O)ccc2O
active,CHEMBL519757,Fc6cccc(COc5ccc(Nc3ncnc4sc(c2ccc(CNCc1ccccc1)o2)cc34)cc5Cl)c6
active,CHEMBL65376,O=C(CCCC(=O)Oc1ccc(/C=C/N(=O)=O)cc1)OCc2ccco2
active,CHEMBL474343,C=CC(=O)NC3=CC=C4N=CN=C(Nc2ccc(Oc1ccccc1)cc2)C34
active,CHEMBL144842,Oc2ccc(\C=C(/C#N)C(=O)NCCCCCNC(=O)C(=C/c1ccc(O)c(O)c1)/C#N)cc2O
active,CHEMBL246284,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(COC[C@@H]1CNCCO1)c23)ccc45)c6
active,CHEMBL332906,Nc4ccc(c2[nH]nc3ncnc(Nc1cccc(Cl)c1)c23)cc4
active,CHEMBL368702,CCOc4cc3ncc(C#N)c(Nc2ccc(OCc1ccccc1)c(Cl)c2)c3cc4NC(=O)\C=C\CN5CCC5
active,CHEMBL256297,CO/N=C/c1c(N)ncnc1Nc3ccc(OCc2cccc(F)c2)c(Cl)c3
active,CHEMBL207869,Fc4cccc(COc3ccc(Nc1ncncc1C#Cc2ncccn2)cc3Cl)c4
active,CHEMBL553137,Cn3c1ccccc1c4ncnc(Nc2cccc(Br)c2)c34
active,CHEMBL304271,CCN(CC)CC(O)CNC(=O)c4cc(C)c(\C=c2/c(=O)[nH]c3ncnc(Nc1ccc(F)c(Cl)c1)c23)[nH]4
active,CHEMBL250924,COc4cc3ncnc(C#Cc1ccccc1c2ccccc2)c3cc4OC
active,CHEMBL515082,CS(=O)(=O)CCNCc5nc(c4ccc3ncnc(Nc2ccc(OCc1ccccc1)c(Cl)c2)c3c4)cs5
active,CHEMBL248391,COc4cc3c(N[C@@H]1C[C@H]1c2ccccc2)c(C#N)cnc3cc4OCCCc5cccnc5
active,CHEMBL593860,COc5cc4c(Nc3ccc(c2nc1ccccc1s2)c(OC)c3)ncnc4cc5OCCCN6CCN(C)CC6
active,CHEMBL162622,Brc4cccc(Nc2ncnc3cnc(NCCN1CCOCC1)cc23)c4
active,CHEMBL179164,CCOc5cc4ncc(C#N)c(Nc3ccc2n(S(=O)(=O)c1ccccc1)ccc2c3)c4cc5NC(=O)\C=C\CN(C)C
active,CHEMBL381604,Nc4nccc(C#Cc1cncnc1Nc3ccc(OCc2cccc(F)c2)c(Cl)c3)n4
active,CHEMBL125920,CCOc4cc3ncnc(Nc2cccc(c1cc[nH]n1)c2)c3cc4OCC
active,CHEMBL257859,Clc4cc(Nc2ncnc3[nH]nc(OCCCN1CCOCC1)c23)ccc4OCc5ccccn5
active,CHEMBL460722,Brc4cccc(Nc2ncnc3cnc(CC(=O)\C=C\C(=O)NCCCN1CCOCC1)cc23)c4
active,CHEMBL40130,Brc5cccc(Nc3ncnc4cc2n(CCN1CCOCC1)ccc2cc34)c5
active,CHEMBL281467,Brc3cccc(Nc1c(C#N)cnc2ncc(NC(=O)C=C)cc12)c3
active,CHEMBL446250,COc1ccccc1Cc8nc7ccc(c5nn(C4CCC(N3CCN(CC2CC2)CC3)CC4)c6ncnc(N)c56)cc7[nH]8
active,CHEMBL179652,CCOc5cc4ncc(C#N)c(Nc3ccc2n(Cc1ccccc1)ccc2c3)c4cc5NC(=O)\C=C\CN(C)C
active,CHEMBL251700,Fc4ccc(Nc2ncnc3ccc(C#CCN1CCCCC1)cc23)cc4Cl
active,CHEMBL461114,Nc3ncnc(Nc2ccc(OCc1ccccc1)c(Cl)c2)c3C(=O)Nc4ccccc4
active,CHEMBL245799,N#Cc4cnc3ccc(c2cccc(CN1CCOCC1)c2)cc3c4N[C@@H]5C[C@H]5c6ccccc6
active,CHEMBL426051,CCOc4cc3ncc(C#N)c(Nc2ccc(OCc1cccs1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL144908,Oc2ccc(\C=C(/C#N)C(=O)NCCNC(=O)C(=C/c1ccc(O)c(O)c1)/C#N)cc2O
active,CHEMBL485320,Nc4nc(Nc1cccc(Br)c1)c3cc(CCc2ccccc2)[nH]c3n4
active,CHEMBL173498,Brc4cccc(Nc2ncnc3cc1nccnc1cc23)c4
active,CHEMBL193681,CCc5c(C(=O)NCCCn1ccnc1)cn6ncnc(Nc4ccc3n(Cc2ccccc2)ncc3c4)c56
active,CHEMBL119977,Clc4cccc(Nc2[nH]cnc3nnc(c1ccccc1)c23)c4
active,CHEMBL330668,COc4cc3ncnc(Nc2cnc1ccccc1n2)c3cc4OC
active,CHEMBL233325,O[C@H]6CNCCN(Cc4ccn5ncnc(Nc3ccc2n(Cc1cccc(F)c1)ncc2c3)c45)C6
active,CHEMBL105436,COc4cccc(c2cn(c1ccc(CCN(C)CCO)cc1)c3ncnc(N)c23)c4
active,CHEMBL542891,CCOC(=O)C3CCN(CCC(=O)c2ccc(OCc1ccccc1)cc2)CC3
active,CHEMBL203779,CCCN4CCC(Oc2cc(OC)cc3ncnc(Nc1ccc(F)c(Cl)c1)c23)CC4
active,CHEMBL473437,CN(C)Cc5ccc(c4cc3ncnc(Nc2ccc(OCc1cccc(F)c1)c(Cl)c2)c3s4)[nH]5
active,CHEMBL246072,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(COCC1CCNCC1)c23)ccc45)c6
active,CHEMBL442749,N(c2ccc1[nH]ccc1c2)c3ncnc4ccsc34
active,CHEMBL248114,Cc6cncc(Cn4ncc5cc(Nc2ncnn3ccc(CN1CCC(N)CC1)c23)ccc45)c6
active,CHEMBL589588,COc2ccc(NC(=O)c1ccc(N(CCCl)CCCl)cc1)cc2
active,CHEMBL52882,CNC3=CC2N=CN(C)C(=N/c1cccc(Br)c1)\C2C=N3
active,CHEMBL139307,Brc4cccc(Nc2ncnc3ccc(N(CCCN1CCOCC1)C(=O)C=C)cc23)c4
active,CHEMBL359630,CCOc4cc3ncc(C#N)c(Nc2ccc(OCc1ccccc1)c(Cl)c2)c3cc4NC(=O)\C=C\Cc5c[nH]cn5
active,CHEMBL225721,COc4ccc(N(CCNN=Nc3ccc2ncnc(Nc1cccc(Cl)c1)c2c3)CC(C)Cl)cc4
active,CHEMBL395591,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(COCC1CNCCOC1)c23)ccc45)c6
active,CHEMBL355982,Brc3cccc(Nc1ncnc2sccc12)c3
active,CHEMBL201307,COc4cc3c(Nc2ncc(CC(=O)Nc1cccc(F)c1)s2)ncnc3cc4OCCCN5CCC(CO)CC5
active,CHEMBL248220,COc4cc3ncc(C#N)c(N[C@@H]1C[C@H]1c2ccccc2)c3cc4OCc5ccccc5
active,CHEMBL399438,N#Cc4cnc3cc(c2ccc(CN1CCOCC1)cc2)ccc3c4N[C@@H]5C[C@H]5c6ccccc6
active,CHEMBL509914,Brc4cccc(Nc2ncnc3cnc(CC(=O)\C=C\c1ccccc1)cc23)c4
active,CHEMBL447331,Brc4cccc(Nc2ncnc3cc1NCc1cc23)c4
active,CHEMBL599863,Brc4cccc(Nc2ncnc3ccc(NC(=O)CNC(=O)Oc1ccccc1)cc23)c4
active,CHEMBL420059,COc4cc3ncnc(NC1CC1c2ccccc2)c3cc4OCCN5CCOCC5
active,CHEMBL555797,COc4cc3ncnc(Nc2ccc1CCCc1c2)c3cc4OC
active,CHEMBL590109,NCCn5cc(c4cc(c2cc1ccccc1s2)c3[nH]ncc3c4)c6nc(N)ncc56
active,CHEMBL57758,COc3cc2ncnc(Nc1ccc(F)c(Cl)c1)c2cc3OCCN4CCCC4
active,CHEMBL75177,Clc4cccc(Nc2[nH]cnc3nc1CCCCc1c23)c4
active,CHEMBL215973,COc5cc4CNc3c(Nc2ccc1ccccc1c2)ncnc3Oc4cc5OC
active,CHEMBL332333,N(c1ccccc1)c3nc[nH]c4nnc(Nc2ccccc2)c34
active,CHEMBL94019,COc4cc3ncnc(NC1CCc2ccccc12)c3cc4OC
active,CHEMBL93386,Brc4cccc(Nc2ncnc3ccc(NC(=O)C#CCN1CCOCC1)cc23)c4
active,CHEMBL399372,CCOc4cc3ncnc(C#Cc1nccn1c2ccccc2)c3cc4OCC
active,CHEMBL172652,Brc4cccc(Nc2ncnc3cc1[nH]nnc1cc23)c4
active,CHEMBL39355,Brc5cccc(Nc3ncnc4cc2n(CCCN1CCOCC1)ncc2cc34)c5
active,CHEMBL355330,Nc3ncnc4n(C1CCC1)cc(c2cccc(O)c2)c34
active,CHEMBL248322,NC5CCN(Cc3ccn4ncnc(Nc2ccc(OCc1ccccn1=O)c(Cl)c2)c34)CC5
active,CHEMBL219557,COc5cc(Nc3c(C#N)cnc4cc(c2coc(CN1CCN(C)CC1)c2)c(OC)cc34)c(Cl)cc5Cl
active,CHEMBL53898,Oc2ccc(\C=C(/C#N)C(=O)NCCCc1ccccc1)cc2O
active,CHEMBL304971,CN5CCN(C(=O)c4c[nH]c(\C=c2/c(=O)[nH]c3ncnc(Nc1ccc(F)c(Cl)c1)c23)c4C)CC5
active,CHEMBL462162,COc3cc(Nc1ncnc2[nH]ccc12)ccc3c5nc4ccccc4s5
active,CHEMBL253292,CCN(CC)CCOc3ccc(Nc2cc(NC(=O)Nc1c(Cl)cccc1Cl)ncn2)cc3
active,CHEMBL122245,COc4ccc(CNc2[nH]nc3ncnc(Nc1cccc(Cl)c1)c23)cc4
active,CHEMBL234580,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(CN1CCNCC(=O)C1)c23)ccc45)c6
active,CHEMBL338049,CN[C@H]1C[C@@H]5O[C@](C)([C@H]1OC)n7c2ccccc2c8c3[C@@H](O)NC(=O)c3c6c4ccccc4n5c6c78
active,CHEMBL165574,Brc4cccc(Nc2ncnc3cnc(NCCCN1CCOCC1)cc23)c4
active,CHEMBL182254,Fc5cccc(COc4ccc(Nc2ncnc3nn1ccccc1c23)cc4Cl)c5
active,CHEMBL53711,CN(C)c3cc2c(Nc1cccc(Br)c1)ncnc2cn3
active,CHEMBL179458,COc4cc3ncc(C#N)c(Nc2ccc(n1ccnc1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL168915,Oc4ccc(O)c(CNc3ccc(O)c(C(=O)Oc1cccc2ccccc12)c3)c4
active,CHEMBL179363,CCOc4cc3ncc(C#N)c(Nc2ccc(OCc1cccc(Cl)c1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL245800,NCc5ccc(c4ccc3ncc(C#N)c(N[C@@H]1C[C@H]1c2ccccc2)c3c4)cc5
active,CHEMBL149512,Brc4cccc(Nc2ncnc3c1ccccc1oc23)c4
active,CHEMBL316127,Brc4cccc(Nc2ncnc3ccc(NC(=O)\C=C\CN1CCOCC1)cc23)c4
active,CHEMBL127223,CCOc4cc3ncnc(Nc2cccc(c1cscn1)c2)c3cc4OCC
active,CHEMBL516365,CC4CCN(CCCOc3cc2ncnc(Cc1cccc(Br)c1)c2cc3NC(=O)C=C)CC4
active,CHEMBL474147,Cc3cccc(NC1=NC=NC2=CC=C(NC(=O)C=C)C12)c3
active,CHEMBL179577,CCOc4cc3ncc(C#N)c(Nc2ccc(NCc1ccccc1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL22978,CN4CCC(O)(c3nc(c1ccc(F)cc1)c(c2ccncc2)o3)CC4
active,CHEMBL572881,CC4(C)CNc3cc(NC(=O)c1cccnc1NCc2ccncc2)ccc34
active,CHEMBL132466,COc4cc3cc2ncc(C#N)c(Nc1ccc(F)c(Cl)c1)c2cc3cc4OC
active,CHEMBL1171792,Cc2ccc(Br)c3c(C#N)cc(C(=O)C1CC1)n23
active,CHEMBL111197,COc4cccc(Nc3ncc2cc(c1c(Cl)cccc1Cl)c(=O)n(C)c2n3)c4
active,CHEMBL153525,Brc4cccc(Nc2ncnc3ccc1cc[nH]c1c23)c4
active,CHEMBL475761,CN6CCN(Cc5ccc(c4cc3ncnc(Nc2ccc(OCc1cccc(F)c1)c(Cl)c2)c3s4)o5)CC6
active,CHEMBL597200,Fc4ccc(OCC(=O)Nc3ccc2ncnc(Nc1cccc(Br)c1)c2c3)cc4
active,CHEMBL460723,Brc4cccc(Nc2ncnc3cnc(CC(=O)\C=C\C(=O)NCCCn1ccnc1)cc23)c4
active,CHEMBL122068,Nc3nc(N)c2c(Nc1cccc(Cl)c1)[nH]nc2n3
active,CHEMBL489313,Brc5cccc(Nc3ncnc4cc2N(CCC(=O)N1CCOCC1)Cc2cc34)c5
active,CHEMBL212965,Clc5cc(Nc3ncnc4ccc(c2ccc(CN1CCS(=O)CC1)o2)cc34)ccc5OCc6ccccc6
active,CHEMBL251498,Fc4ccc(Nc2ncnc3ccc(C#CCN1CCOCC1)cc23)cc4Cl
active,CHEMBL311129,Cc3c(c1ccccc1)[nH]c4ncnc(Nc2cccc(Cl)c2)c34
active,CHEMBL92902,CN4CCC=C(C(=O)Nc3ccc2ncnc(Nc1cccc(Br)c1)c2c3)C4
active,CHEMBL1173814,COc3ccc(C2CC(c1ccc(C)c(C)c1)=NN2C(N)=S)cc3
active,CHEMBL270448,Clc4cc(Nc2ncnc3[nH]nc(OCCN1CCCCCO1)c23)ccc4OCc5ccccn5
active,CHEMBL250132,C[C@H](CN(C)C(=O)CO)Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34
active,CHEMBL1098120,NC1CCc4c(C1)c3cc(OCCc2ccc(O)cc2)ccc3n4CCCCCc5ccccc5
active,CHEMBL554983,Brc4cccc(Nc2[nH]cnc3c1ccccc1nc23)c4
active,CHEMBL516022,Cc3cccc(NC1=NC=NC2=CN=C(NC(=O)C=C)C12)c3
active,CHEMBL7866,COC(=O)Cn2cc(c1cccc(Cl)c1)c(=O)c3c(O)cc(OC)cc23
active,CHEMBL179572,COc4cc3ncc(C#N)c(Nc2ccc(Sc1nccs1)c(Cl)c2)c3cc4NC(=O)\C=C\CN(C)C
active,CHEMBL473427,Fc5cccc(COc4ccc(Nc2ncnc3cc(c1cccs1)sc23)cc4Cl)c5
active,CHEMBL67027,COc2ccc(\C=C(/C#N)c1cccnc1)cc2OC
