name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id
,,CCN1CC[C@@H]1CNC(=O)C1(NC(=O)CC[C@H](C)OC)CCOCC1,,,,,,ZINCpc000015MdZG
,,COC1CC(N=c2[nH]c(C3CC3)nc(=NCCCc3nncs3)[nH]2)C1,,,,,,ZINCps00000CF5r5
,,CC(C)=C(C)CC(=O)N[C@H](CC1CCC1)C(=O)NC1C2CCC1CC2,,,,,,ZINCpH00000sVrF6
,,COC1CC(N=c2[nH]c(=NC[C@@H](C)S(C)(=O)=O)c3ccccc3[nH]2)C1,,,,,,ZINCpq00000CF5ri
,,CCC[C@](C)(CC)C(=O)N[C@H]1CCN(C(=O)CC2CCC2)C1,,,,,,ZINCmB000004pexQ
,,Cc1nc(-c2ccn(C(C)C)c2C)n(-c2cccc(C(N)=O)c2)n1,,,,,,ZINCoA0000087Tnp
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CN(C)C(=O)C[C@H](C)CC)o1,,,,,,ZINCnn00001A1dJN
,,CC1(C)CN(C(=O)C(=O)N[C@@H]2C[C@@H]3COC[C@@H]32)CC1(F)F,,,,,,ZINClc00000AivMq
,,O=C(N[C@H]1CCOc2ccc(Br)cc21)[C@H]1C=CCNC1,,,,,,ZINCkr000000jLqW
,,CCN1CC[C@H]1CNC(=O)C1(NC(=O)[C@H]2CCCCNC2=O)CSC1,,,,,,ZINCp5000015MdZK
,,C[C@H](Sc1ccc(Cl)cc1)C(=O)NCCOCCNC(=O)C[C@@H](C)F,,,,,,ZINCpy00000oyTaQ
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CNC(=O)[C@@H]2CCCSC2)o1,,,,,,ZINCnh00001A1dK0
,,COC1CC(Nc2[nH]c(=NCC[C@@H](C)O)nc3c2ncn3C(C)C)C1,,,,,,ZINCpr00000CF5rg
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CNC(=O)C[C@@H](C)CC)n1C,,,,,,ZINCni00001A1dJW
,,Cc1cccc(Cl)c1C(=O)N1CC[C@H]([C@@H]2CCCN2C)C1,,,,,,ZINClC00000nlpor
,,CN(CC1CCN(C(=O)C#CC2CC2)C1)C(=O)C(C)(C)C#N,,,,,,ZINCmi00000fJPok
,,CCC[C@](C)(CCCNC(=O)c1nocc1Br)C1OCCO1,,,,,,ZINCmB000004pez1
,,CC[C@H](C)C[C@H](C)C(=O)N(C)CCN(C)C(=O)CC12COC(C)(C1)C2,,,,,,ZINCpz000005RHga
,,CCN1CC[C@@H]1CNC(=O)CC1=CCN(C(=O)[C@@H](O)CN(C)C)CC1,,,,,,ZINCp5000015Me00
,,CCN(CC(C)NC(=O)C(F)F)C(=O)C=CCOCCOC,,,,,,ZINCme00000fJPF1
,,CCN1CC[C@@H]1CNC(=O)C1=NO[C@H](CNC(=O)c2ccc(F)s2)C1,,,,,,ZINCpf000015MdZR
,,CSc1ccnc(N2CCC(C(C)(C)CNC(=O)CNC=O)CC2)n1,,,,,,ZINCpj00001BP6JU
,,CCN1CC[C@H]1CNC(=O)CCCCCNC(=O)c1ccncc1N,,,,,,ZINCph000015Me0b
,,CCN1CC[C@@H]1CNC(=O)c1c[nH]nc1CNC(=O)C1=NNC(=O)C1,,,,,,ZINCp4000015MdZl
,,CC[C@H](C)C[C@@H](C)C(=O)N[C@@H]1CCCCN(C(=O)C2(C(C)=O)CC2)C1,,,,,,ZINCpz000005RH5V
,,C[C@H](NC(=O)[C@@H]1C[C@@]1(F)Cl)c1nocc1C(=O)N[C@@H]1CC1(C)C,,,,,,ZINCnt00000r2mEr
,,CSC1CC(N(C)C(=O)[C@@H](NC(=O)c2ncc(C)cc2F)[C@H](C)O)C1,,,,,,ZINCpj00001BP6Jz
,,CSC1CC(N(C)C(=O)[C@@H](NC(=O)C[C@@H]2C[C@H]3C=C[C@@H]2C3)[C@H](C)O)C1,,,,,,ZINCpo00001BP6JA
,,COC[C@H](C)C(=O)N1CC=C[C@H]1C(=O)NCC#Cc1cccnc1,,,,,,ZINCob00000HT9HP
,,CCN1CC[C@H]1CNC(=O)C1(NC(=O)[C@H]2OCCC2(C)C)CC(F)C1,,,,,,ZINCpf000015MdZL
,,COC[C@H](C)C(=O)N1CCC[C@H](CCC(=O)N2C[C@](C)(O)CO2)C1,,,,,,ZINCoe00000HT9I7
,,C=C1CC(C(=O)NC[C@@H](CC)NC(=O)c2cccc3[nH]ccc23)C1,,,,,,ZINCox0000027KD6
,,CCN1CC[C@H]1CNC(=O)c1sccc1CNC(=O)[C@H]1CNC(=O)C1,,,,,,ZINCp9000015MdZV
,,COC[C@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@H]1C2CCN(CC2)[C@@H]1C,,,,,,ZINCoe00000HT9HR
,,CC[C@H](C)C[C@H](C)C(=O)N(C)C1CCN(c2cc(Cl)c(O)nn2)CC1,,,,,,ZINCpz000005RHd2
,,CC[C@H](C)C[C@@H](C)C(=O)N1CC[C@H](C)N(C(=O)c2snnc2C)CC1,,,,,,ZINCpz000005RGIx
,,CCN1CC[C@@H]1CNC(=O)c1n[nH]c2c1CN(C(=O)[C@@H](O)CSC)C2,,,,,,ZINCp5000015MdZO
,,COC[C@H](C)C(=O)N1CCC[C@@H](CCNC(=O)C2CS(=O)C2)CC1,,,,,,ZINCod00000HT9Ib
,,C=CC(C)(C)CC(=O)N[C@@H](CC1CCC1)C(=O)NC1C2CCC1CC2,,,,,,ZINCpF00000sVrF4
,,CCc1ncc(S(=O)(=O)N[C@H](C)CCNC(=O)[C@H]2C[C@@H](O)C2)s1,,,,,,ZINCnc00001A1dJH
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CCC(=O)OC(C)(C)C)n1C,,,,,,ZINCnn00001A1dJB
,,CC[C@H](C)C[C@@H](C)C(=O)NC[C@H](CC)NC(=O)c1cnn(C2CC2)c1,,,,,,ZINCpz000005RGZw
,,C[C@H]1CC[C@@H]1C(=O)NC[C@H]1CCCN(C(=O)C[C@H]2CSCCO2)CC1,,,,,,ZINCpt00000yMt0W
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)c1ccc(Cl)cc1C,,,,,,ZINCnI00000llstg
,,Cc1ccc(C#N)cc1C(=O)NOCC(=O)N[C@@H](C)CS(C)(=O)=O,,,,,,ZINCo600000HFAhk
,,Cc1nc(-c2cccs2)sc1C(=O)NCCNC(=O)[C@H](C)C1CC1,,,,,,ZINCoA0000087TlX
,,Cc1nc(-c2ccn(C)n2)sc1CC(=O)N[C@H]1C[C@@H]2CCC[C@@H]2C1,,,,,,ZINCoA0000087TnU
,,Cc1cccc(NCCNC(=O)C(=O)N2C[C@H](C)[C@@H](C(=O)O)C2)n1,,,,,,ZINCo600000HFAhx
,,O=C(N[C@H]1CCO[C@H](c2cccnc2)C1)c1ccns1,,,,,,ZINCkr000000jLq1
,,COC(=O)C1(S(C)(=O)=O)CN(C(=O)C(C)C2=CC=C(Br)S2)C1,,,,,,ZINCmk00000fJQ4y
,,CCc1ncc(S(=O)(=O)N[C@H]2C[C@H]2NC(=O)[C@@H](C)[C@H](O)CC)s1,,,,,,ZINCnc00001A1dJo
,,O=C(N[C@H]1CCOC2(CCCC2)C1)C1(F)CCOCC1,,,,,,ZINCkr000000jLnW
,,CSc1ccnc(N2CCC[C@@H]2CN(C)C(=O)c2ccncc2N)n1,,,,,,ZINCpp00001BP6K0
,,CC1=CN(CC2=CC(C(=O)NC(C)C3=NNC=N3)=NO2)N=C1,,,,,,ZINCme00000fJQ75
,,CC[C@H](C)C[C@H](C)C(=O)N(C)CCN(C(=O)[C@@H](C)CN(C)C)C(C)C,,,,,,ZINCpz000005RHfO
,,CC(C)NC(=O)C(=O)N[C@@H](C)CNC(=O)CC(C)NC(N)=O,,,,,,ZINCm400000fJPJ9
,,CCc1ncc(S(=O)(=O)N[C@H]2C[C@@H](NC(=O)C[C@H](C)CC)C2)o1,,,,,,ZINCnl00001A1dJq
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CNC(=O)[C@H](C)OC(C)=O)s1,,,,,,ZINCna00001A1dK3
,,CSc1ccnc(N2CCC[C@@H](NC(=O)CCOC3COC3)CC2)n1,,,,,,ZINCpk00001BP6K6
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)c2ccn(C)c2)s1,,,,,,ZINCnh00001A1dJR
,,Cc1cccc(Cl)c1CNS(=O)(=O)c1cc(Cl)cnc1O,,,,,,ZINCly00000nlpon
,,COC[C@@H](C)C(=O)N1CC=C[C@H]1C(=O)N(C)CCc1ncccn1,,,,,,ZINCob00000HT9HQ
,,Cc1ccc(C#N)cc1NC(=O)C#CCNC(=O)c1n[nH]c(=N)[nH]1,,,,,,ZINCo500000HFAhm
,,Cc1cc(=NC(=O)C(=O)N2C[C@@H]3COC[C@@H]3O2)[nH]o1,,,,,,ZINCj500000AivMh
,,CCc1ncc(S(=O)(=O)N[C@H](C)CN(C)C(=O)[C@@H]2C[C@H]2Cl)n1C,,,,,,ZINCnd00001A1dJP
,,CCC[C@H](CC1CCCC1)C(=O)NC/C=C\CNC(=O)C1(C)COC1,,,,,,ZINCpy00000oyTiZ
,,Cc1cccc(Cl)c1C(=O)NC1(c2ncc(Br)cn2)CC1,,,,,,ZINClG00000nlpot
,,Cc1nocc1C(=O)Nc1ccc(C(=O)N2CCO[C@@H](C)C2)nc1,,,,,,ZINCok00000opcNv
,,CCN1CC[C@H]1CNC(=O)C#CC(C)(C)CNC(=O)[C@@H]1CCCOC1,,,,,,ZINCpd000015Me0a
,,CCN1CC[C@@H]1CNC(=O)CC(C)(C)CNC(=O)c1cnnc(O)c1,,,,,,ZINCp7000015Me0d
,,CCN(CCNC(=O)C1CC1C)C(=O)C1=C(C)N=CN=C1C,,,,,,ZINCmj00000fJPNi
,,COC1(CCN=c2ncnc(N[C@H]3CCCN(C4CC4)C3)[nH]2)CCC1,,,,,,ZINCps00000CF5qY
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)Cc2ccsc2)o1,,,,,,ZINCnj00001A1dJU
,,CSC1CC(N(C)C(=O)[C@@H](Cn2cccn2)NC(=O)[C@H]2CC[C@H]2C)C1,,,,,,ZINCpn00001BP6Jv
,,CC#CCCCC(=O)NC(C)(C)CN(C)C(=O)[C@@H]1CC[C@@H]2[C@H]1C2(F)F,,,,,,ZINCpy00000oyT9d
,,C[C@H](NC(=O)[C@@H]1C[C@]1(F)Cl)[C@@H]1C[C@H]1C(=O)NOCC1(C)CCC1,,,,,,ZINCns00000r2mEE
,,CCc1ncc(S(=O)(=O)N[C@H](C)CCCNC(=O)CC(Cl)Cl)o1,,,,,,ZINCnp00001A1dJy
,,CSc1ccnc(N2CCC[C@H](CNC(=O)C#C[C@@H]3CCOC3)C2)n1,,,,,,ZINCpl00001BP6K3
,,CSC1CC(N(C)C(=O)[C@@H](C(C)C)[C@@H](C)NC(=O)[C@@H](C)NC(C)=O)C1,,,,,,ZINCpm00001BP6Jt
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)c1[nH]ccc1C1CC1,,,,,,ZINCnA00000llsti
,,CN(CCNC(=O)C1=CC(O)=NN1C)C(=O)CC1CC1(Cl)Cl,,,,,,ZINCme00000fJP9O
,,C=CC1CC(N=c2[nH]c(=NCCNC(=O)CC)[nH]c3c2COC3)C1,,,,,,ZINCoo00000t6fIK
,,CCN1CC[C@@H]1CNC(=O)CCCCCNC(=O)CCC(=O)N(C)C,,,,,,ZINCpd000015Me0e
,,CCN1CC[C@H]1CNC(=O)CC1(NC(=O)Cc2cc(C)n(C)n2)CC1,,,,,,ZINCpb000015Me02
,,C=CC1CC(N=c2[nH]c(=N)[nH]c(=NCc3cnc(O)c(F)c3)[nH]2)C1,,,,,,ZINCom00000t6fIP
,,Fc1cc(C(F)F)ccc1CNc1cc(C(F)F)nc2ncnn12,,,,,,ZINCoH00000kov2y
,,Cc1cc(=NC(=O)N2CC[C@@H]3[C@@H](O)C[C@@H]32)cc(C)[nH]1,,,,,,ZINCjm00000AivMw
,,C=C1CC(C(=O)NCC[C@@H]2CCCN(C(=O)c3cc(O)cs3)C2)C1,,,,,,ZINCox0000027Kuy
,,Cc1nocc1C(=O)NC12CCC(NC(=O)C(=O)C(C)C)(CC1)C2,,,,,,ZINCol00000opcNu
,,COC[C@@H](CC(=O)N1CCC[C@H]1CSC)NC(=O)Cc1cn[nH]c1,,,,,,ZINCoe00000HT9HZ
,,CC[C@H](C)C[C@H](C)C(=O)N(C)CCN(C)C(=O)c1ccnc(Cl)c1N,,,,,,ZINCpz000005RHhd
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)[C@@H](SC)C(C)C)s1,,,,,,ZINCno00001A1dK4
,,CCc1ccncc1N[C@H](c1nnnn1C)C1CC(OC)(OC)C1,,,,,,ZINCon00000t6fIX
,,CSc1ccnc(N2CC[C@@](C)(NC(=O)CC[C@H]3CCS3(=O)=O)C2)n1,,,,,,ZINCpi00001BP6K9
,,CSc1ccnc(N2CC[C@@](C)(CNC(=O)CCC(=O)N(C)C)C2)n1,,,,,,ZINCpj00001BP6JY
,,CCc1ncc(S(=O)(=O)N[C@H](C)CCNC(=O)c2cnco2)o1,,,,,,ZINCnd00001A1dJE
,,C=C1CC(C(=O)NC[C@@H](C)CNc2ncnc3[nH]c(C)c(C)c23)C1,,,,,,ZINCox0000027KzK
